URL,Title,Desire points,Status,Date of application,Contact back,First interview,Second interview,Third interview
https://www.linkedin.com/jobs/view/3718609007/?refId=ff0c9993-dd4d-4b96-a175-95992f5157cb&trackingId=ttNqTLWcQWCyHR%2FeaZ5qkQ%3D%3D&trk=flagship3_job_home_savedjobs,Senior Software Engineer,9,not answered,01.11.2023,,,,
https://www.linkedin.com/jobs/view/3741932119/?refId=ff0c9993-dd4d-4b96-a175-95992f5157cb&trackingId=LS7a6C5DRqaII8EEg1JOyQ%3D%3D&trk=flagship3_job_home_savedjobs,"Data Scientist, Data Platform & AI",8,rejected,03.11.2023,20.11.2023,,,
https://www.linkedin.com/jobs/view/3754266142/?refId=ff0c9993-dd4d-4b96-a175-95992f5157cb&trackingId=leBlKXJ8QUev7j0Kz7i3xQ%3D%3D&trk=flagship3_job_home_savedjobs,"Senior Data Scientist, Merchant",6,rejected,07.11.2023,09.11.2023,,,
https://www.linkedin.com/jobs/view/3730678388/?refId=ff0c9993-dd4d-4b96-a175-95992f5157cb&trackingId=IEeaylpeQa6jhgoISN%2FqYw%3D%3D,Senior Data Scientist,8,rejected,07.11.2023,22.11.2023,,,
https://www.linkedin.com/jobs/view/3759876569/?refId=ff0c9993-dd4d-4b96-a175-95992f5157cb&trackingId=jxPTlvj0QyaZKlWcrcKJ1g%3D%3D&trk=flagship3_job_home_savedjobs,Research Engineer,8,rejected,09.11.2023,17.11.2023,,,
https://www.linkedin.com/jobs/view/3762892829/?refId=5e389b82-c672-4c49-951d-c86caf9de053&trackingId=xgoygcI%2BSwC5ldSxiiyraQ%3D%3D&trk=flagship3_job_home_savedjobs,Data Scientist,6,not answered,27.11.2023,,,,
https://www.linkedin.com/jobs/view/3759911442/?refId=a15754f3-7d98-475d-8a64-116b06b110db&trackingId=MBLj63OZRPiivbQ00jP6Ew%3D%3D,"Software Development Engineer II, Maps API",7,rejected,27.11.2023,01.12.2023,,,
https://www.linkedin.com/jobs/view/3759771729/?alternateChannel=search&refId=VjJ55BHCqJ5JOhx%2B83LgYA%3D%3D&trackingId=OcpmE13m%2FSoe2%2F%2Fci9BQJw%3D%3D,Data Scientist,6,not answered,27.11.2023,,,,
https://www.linkedin.com/jobs/view/3646896755/?alternateChannel=search&refId=AmYGatxJ6QDrnQXXCk%2FNig%3D%3D&trackingId=j7ujk5xDMH3EnfcNWnEKVA%3D%3D&trk=d_flagship3_search_srp_jobs,Machine Learning Engineer,6,rejected,28.11.2023,01.12.2023,,,
https://www.linkedin.com/jobs/view/3773680191/?alternateChannel=search&refId=eqs0DvbAJd9QxmcXZVugQA%3D%3D&trackingId=sc7RXimz4MgJQcWLbLWhew%3D%3D,Full Stack Data Scientist,8,rejected,28.11.2023,29.11.2023,,,
https://thehub.io/jobs/604271292852bb5ec071c5a3,GIS Developer,8,not answered,29.11.2023,,,,
https://www.linkedin.com/jobs/view/3772703986/?alternateChannel=search&refId=5jg2p6SgdNyQyOiijj5fbw%3D%3D&trackingId=o8lbt8%2BjJh%2Bblc3MiFsNlw%3D%3D&trk=d_flagship3_jobs_discovery_jymbii,Senior Statistical Programmer,6,not answered,29.11.2023,,,,
