URL,Title,Desire points,Status,Date of application,Contact back,First interview,Second interview,"Third interview"
https://www.linkedin.com/jobs/view/3843754484/,Senior Data Scientist,6,rejected,19.03.2024,21.03.2024,,,
https://www.linkedin.com/jobs/view/3848499237/,Senior Data Scientist,7,rejected,19.03.2024,27.03.2024,,,
https://www.linkedin.com/jobs/view/3861551983,Marketing Automation Specialist,5,rejected,20.03.2024,02.04.2024,,,
https://www.linkedin.com/jobs/view/3863935852,Specialist or Senior Specialist (geoinformatics or remote sensing),8,rejected after 2nd interview,20.03.2024,03.04.2024,08.04.2024,17.04.2024,
https://www.linkedin.com/jobs/view/3854429501,Research Scientist,7,rejected,21.03.2024,17.04.2024,,,
https://www.linkedin.com/jobs/view/3837967189,Senior Data Scientist,5,not answered,21.03.2024,,,,
https://www.linkedin.com/jobs/view/3866208018,Machine Learning Engineer,5,not answered,21.03.2024,,,,
https://www.linkedin.com/jobs/view/3852460898,Python Developer,6,not answered,21.03.2024,,,,
https://www.linkedin.com/jobs/view/3853540270/,Call for Doctoral Students in Artificial Intelligence,6,withdrawn,22.03.2024,06.05.2024,,,
https://www.linkedin.com/jobs/view/3865879659,Climate Modeling Specialist,7,rejected,23.03.2024,,,,
https://www.linkedin.com/jobs/view/3853975536,Python Backend Engineer,5,rejected after 2nd interview,23.03.2024,26.03.2024,02.04.2024,09.04.2024,
https://www.linkedin.com/jobs/view/3844352681,(Senior) Software Engineer,5,not answered,24.03.2024,,,,
https://www.linkedin.com/jobs/view/3762319734,Senior Analyst,5,rejected,24.03.2024,05.04.2024,,,
https://www.linkedin.com/jobs/view/3823665206,Machine Learning Engineer (AI Product Lab),6,rejected,24.03.2024,26.03.2024,,,
https://www.linkedin.com/jobs/view/3856969003,(Lead) Data Analyst,6,rejected,24.03.2024,27.03.2024,,,
https://www.linkedin.com/jobs/view/3854480423,Senior Backend Engineer (Data),6,rejected after 2nd interview,24.03.2024,28.03.2024,03.04.2024,05.04.2024,
https://www.maanmittauslaitos.fi/en/about-nls/organisation/vacancies,Open application,5,not answered,24.03.2024,,,,
https://careers.720.io/jobs/274854-python-developer,Python Developer,7,not answered,25.03.2024,,,,
https://careers.louhe.fi/jobs/3659357-back-end-developer?ittk=N8PQMGR19G,Back-end Developer,6,rejected,25.03.2024,27.03.2024,,,
https://boards.greenhouse.io/alphasensehelsinki/jobs/6718749002,Software Engineer,6,not answered,26.03.2024,,,,
https://www.linkedin.com/jobs/view/3848187646/,Senior Machine Learning Engineer,6,withdrawn,26.03.2024,27.03.2024,28.04.2024,,
https://www.linkedin.com/jobs/view/3861292689/,Industry Data/ AI Lead Consultant,6,rejected,27.03.2024,22.04.2024,,,
https://careers.recordlydata.com/jobs/2123050-machine-learning-lover,Machine learning lover,6,rejected,27.03.2024,08.04.2024,,,
https://www.linkedin.com/jobs/view/38506271577,Data Analyst,5,rejected,28.03.2024,04.04.2024,,,
https://www.linkedin.com/jobs/view/3813764128,"Analytics Lead, Support Domain",5,rejected,29.03.2024,11.04.2024,,,
https://www.linkedin.com/jobs/view/3646896755/,Machine Learning Engineer,4,rejected,29.03.2024,04.04.2024,,,
https://www.linkedin.com/jobs/view/3849625970/,(Senior) Data Engineer - Content Experiences,5,not answered,29.03.2024,,,,
